Duration,Protocol,Service,Flag,Scr_bytes,Dts_bytes,Time,Source,Destination,Length,Info
0,0,0,0,123,0,0.0,10.10.10.10,31.13.89.53,123,Application Data
0,0,0,0,0,60,0.021693,31.13.89.53,10.10.10.10,60,443  >  54790 [ACK] Seq=1 Ack=70 Win=314 Len=0
0,0,0,0,0,125,0.074156,31.13.89.53,10.10.10.10,125,Application Data
0,0,0,0,54,0,0.126678,10.10.10.10,31.13.89.53,54,54790  >  443 [ACK] Seq=70 Ack=72 Win=260 Len=0
0,1,0,0,431,0,0.145393,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,0.145393,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,0.145393,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,0.145393,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
1,1,0,0,495,0,0.240013,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
0,1,0,0,167,0,1.470122,10.10.10.105,239.255.255.250,167,M-SEARCH * HTTP/1.1 
0,1,0,0,87,0,1.575827,10.10.10.105,224.0.0.251,87,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
0,1,0,0,107,0,1.586751,fe80::b877:e4ff:fe5f:565f,ff02::fb,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
1,1,0,0,387,0,1.788147,10.10.10.251,10.10.10.255,387,36075  >  60000 Len=345
0,1,0,0,431,0,2.595515,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,2.596036,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,2.601785,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,2.601785,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,497,0,2.714267,10.10.10.118,239.255.255.250,497,NOTIFY * HTTP/1.1 
0,1,0,0,495,0,2.714267,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
1,1,0,0,119,0,3.007565,10.10.10.105,224.0.0.251,119,"Standard query 0x0005 PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
0,1,0,0,167,0,3.520848,10.10.10.105,239.255.255.250,167,M-SEARCH * HTTP/1.1 
0,1,0,0,87,0,3.521316,10.10.10.105,224.0.0.251,87,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
0,1,0,0,107,0,3.521316,fe80::b877:e4ff:fe5f:565f,ff02::fb,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
0,1,0,0,87,0,3.619249,10.10.10.105,224.0.0.251,87,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
1,1,0,0,107,0,3.619713,fe80::b877:e4ff:fe5f:565f,ff02::fb,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
0,1,0,0,431,0,4.340455,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,4.34096,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,4.345005,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,431,0,4.345005,10.10.10.118,239.255.255.250,431,NOTIFY * HTTP/1.1 
0,1,0,0,440,0,4.345005,10.10.10.118,239.255.255.250,440,NOTIFY * HTTP/1.1 
0,1,0,0,483,0,4.351295,10.10.10.118,239.255.255.250,483,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,4.351295,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,511,0,4.351295,10.10.10.118,239.255.255.250,511,NOTIFY * HTTP/1.1 
0,1,0,0,495,0,4.351295,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
1,1,0,0,495,0,4.351295,10.10.10.118,239.255.255.250,495,NOTIFY * HTTP/1.1 
0,0,0,0,111,0,4.972127,10.10.10.10,52.123.190.70,111,Application Data
