Epoch,Loss,Accuracy
0,1.6164,14.1945
1,1.6155,14.2566
2,1.6148,14.2654
3,1.6141,14.2743
4,1.6136,14.2699
5,1.6132,14.363
6,1.6128,14.332
7,1.6125,14.4207
8,1.6122,14.4473
9,1.6119,14.5804
10,1.6116,14.6336
11,1.6113,14.6824
12,1.611,14.7844
13,1.6107,14.8731
14,1.6104,14.9441
15,1.6101,15.0905
16,1.6098,15.2014
17,1.6095,15.4631
18,1.6092,15.8224
19,1.609,16.1861
20,1.6087,16.5543
21,1.6086,16.9979
22,1.6084,17.2374
23,1.6082,17.2862
24,1.6081,17.6677
25,1.6079,17.7874
26,1.6078,18.3153
27,1.6076,18.8875
28,1.6074,18.9141
29,1.6071,19.2645
30,1.6068,19.7081
31,1.6063,20.338
32,1.6057,20.7905
33,1.6047,21.1852
34,1.6037,21.895
35,1.6024,22.5381
36,1.6009,23.2878
37,1.5991,24.0951
38,1.5971,25.7053
39,1.5949,27.3288
40,1.5923,28.3091
41,1.5894,29.5156
42,1.5862,30.3806
43,1.5826,30.7576
44,1.5787,30.8109
45,1.5745,31.2411
46,1.5701,31.2899
47,1.5651,31.5339
48,1.5599,31.5649
49,1.5543,31.667
50,1.5484,31.7424
51,1.5422,31.769
52,1.5357,31.769
53,1.5286,31.7912
54,1.5215,31.7912
55,1.514,31.7912
56,1.5062,31.7912
57,1.4982,31.7912
58,1.49,31.7912
59,1.4814,31.7912
60,1.4732,31.7912
61,1.4649,31.7912
62,1.4569,31.7912
63,1.449,31.7912
64,1.4414,31.7912
65,1.4342,31.7912
66,1.4272,31.7912
67,1.4209,31.7912
68,1.4152,31.7912
69,1.4101,31.7912
70,1.4055,31.7912
71,1.4017,31.7912
72,1.3984,31.7912
73,1.3954,31.7912
74,1.3932,31.7912
75,1.3913,31.7912
76,1.3895,31.7912
77,1.3883,31.7912
78,1.3872,31.7912
79,1.3864,31.7912
80,1.3856,31.7912
81,1.385,31.7912
82,1.3844,31.7912
83,1.3841,31.7912
84,1.3836,31.7912
85,1.3833,31.7912
86,1.3831,31.7912
87,1.3826,31.7912
88,1.3824,31.7912
89,1.3823,31.7912
90,1.3819,31.7912
91,1.3818,31.7912
92,1.3816,31.7912
93,1.3814,31.7912
94,1.3812,31.7912
95,1.381,31.7912
96,1.3808,31.7912
97,1.3806,31.7912
98,1.3804,31.7912
99,1.3803,31.7912
100,1.38,31.7912
101,1.3798,31.7912
102,1.3796,31.7912
103,1.3793,31.7912
104,1.3793,31.7912
105,1.3791,31.7912
106,1.3788,31.7912
107,1.3785,31.7912
108,1.3784,31.7912
109,1.3783,31.7912
110,1.3781,31.7912
111,1.3779,31.7912
112,1.3779,31.7912
113,1.3774,31.7912
114,1.3774,31.7912
115,1.3773,31.7912
116,1.3772,31.7912
117,1.3769,31.7912
118,1.3768,31.7912
119,1.3768,31.7912
120,1.3767,31.7912
121,1.3764,31.7912
122,1.3761,31.7912
123,1.3761,31.7912
124,1.3759,31.7912
125,1.3759,31.7912
126,1.3758,31.7912
127,1.3755,31.7912
128,1.3754,31.7912
129,1.3755,31.7912
130,1.3754,31.7912
131,1.3751,31.7912
132,1.375,31.7912
133,1.3747,31.7912
134,1.3748,31.7912
135,1.3747,31.7912
136,1.3745,31.7912
137,1.3745,31.7912
138,1.3744,31.7912
139,1.3743,31.7912
140,1.3743,31.7912
